,clac_mcls_nm,clac_hlv_nm
983,DVD/홈시어터,영상/음향가전
987,TV,영상/음향가전
1151,가공유,유제품
1699,가방세트,패션잡화
206,간식/안주형과자,과자
671,간편조리,수산물
675,갑각류,수산물
0,거실가구,가구
63,건강가전,건강용품
66,건강관리용품,건강용품
31,건강보조식품,건강식품
35,건강진액,건강식품
72,건강측정용품,건강용품
148,건과일,과일
385,건면,대용식
88,건어물,건해산물
102,건해산물선물세트,건해산물
1868,격투기,헬스/피트니스
152,견과류,과일
1485,계란류,축산물
1041,고양이용품,원예/애완
242,골프,구기/필드스포츠
133,공구,공구/안전용품
529,공기청정/가습/제습,생활/주방가전
162,과일선물세트,과일
209,과자세트,과자
1160,과채음료,음료
420,교육보조재,문구/사무용품
1010,교육완구,완구
1205,교환/정비용품,자동차용품
1829,구강케어,퍼스널케어
167,국산과일,과일
1490,국산돼지고기,축산물
1503,국산소고기,축산물
863,그릇/식기,식기/조리기구
1164,기능성음료,음료
281,기타,기타(비상품)
4,기타가구,가구
1516,기타고기류,축산물
251,기타구기/필드스포츠,구기/필드스포츠
1519,기타국소고기,축산물
841,기타시즌스포츠,시즌스포츠
899,기타아웃도어/레저,아웃도어/레저
1050,기타애완동물,원예/애완
1700,기타지갑,패션잡화
283,기프트,기타(비상품)
213,껌,과자
39,꿀,건강식품
1383,나물류,채소
900,낚시,아웃도어/레저
118,난방가전,계절가전
1703,남성가방,패션잡화
759,남성골프의류,스포츠패션
768,남성등산/아웃도어의류,스포츠패션
615,남성속옷,속옷/양말/홈웨어
776,남성스포츠화,스포츠패션
619,남성양말류,속옷/양말/홈웨어
289,남성의류상의,남성의류
296,남성의류세트,남성의류
298,남성의류아우터,남성의류
306,남성의류전신,남성의류
307,남성의류하의,남성의류
779,남성일반스포츠의류,스포츠패션
1707,남성지갑,패션잡화
1883,남성케어,화장품/뷰티케어
310,남성특수목적의류,남성의류
314,남성특수소재의류,남성의류
1710,남성패션액세서리,패션잡화
1712,남성화,패션잡화
1019,남아완구,완구
1080,남아의류상의,유아동의류
1086,남아의류세트,유아동의류
1087,남아의류아우터,유아동의류
1092,남아의류전신,유아동의류
1093,남아의류하의,유아동의류
1096,남아특수목적의류,유아동의류
1099,남아특수소재의류,유아동의류
315,냉동간편식,냉동식품
186,냉동과일,과일
682,냉동포장생선류,수산물
125,냉방가전,계절가전
335,냉장/냉동고,냉장/세탁가전
347,냉장간편식,냉장식품
358,냉장음료,냉장식품
1240,냉장조리,조리식품
426,노트,문구/사무용품
252,농구,구기/필드스포츠
492,농산물병통조림,병통조림
1527,닭고기류,축산물
1057,동물병원,원예/애완
1386,두부/콩나물류,채소
1170,두유,음료
902,등산,아웃도어/레저
361,디저트,냉장식품
1250,떡,조리식품
392,레토르트,대용식
516,렌탈서비스,생활/렌탈서비스
284,렌탈수수료,기타(비상품)
1329,맥주,주류
1887,메이크업,화장품/뷰티케어
1835,면도용품,퍼스널케어
414,모바일기기,모바일
506,모바일상품권,상품권
416,모바일액세서리,모바일
1724,모자,패션잡화
1537,미국산소고기,축산물
430,미술용품,문구/사무용품
1901,미용소품,화장품/뷰티케어
878,밀폐/보관용기,식기/조리기구
1838,바디케어,퍼스널케어
107,반건생선,건해산물
587,방향/제습/탈취제,세제/위생
256,배구,구기/필드스포츠
257,배드민턴,구기/필드스포츠
1391,버섯류,채소
1252,베이커리,조리식품
1734,벨트,패션잡화
1184,벽면/바닥용품,인테리어/조명
494,병통조림선물세트,병통조림
1738,보석,패션잡화
136,보수용품,공구/안전용품
280,보험,금융/보험서비스
402,봉지라면,대용식
1278,분말류,조미료
404,분말조리식,대용식
216,비스킷류,과자
1677,비식품테넌트,테넌트/음식점
407,빵,대용식
1400,뿌리채소,채소
440,사무기기,문구/사무용품
5,사무용/학생용가구,가구
443,사무용지/서식지,문구/사무용품
220,사탕/캔디,과자
591,살충/방충제,세제/위생
691,생선회,수산물
1172,생수,음료
533,생활가전,생활/주방가전
520,생활서비스,생활/렌탈서비스
512,생활요금상품판매/충전,상품권
572,서적,서적/음반/악기
933,선식류,양곡
1914,선케어,화장품/뷰티케어
1608,성인침구,침구/수예
1213,세차용품,자동차용품
1455,세탁/건조용품,청소/세탁/욕실용품
343,세탁기,냉장/세탁가전
594,세탁세제,세제/위생
285,소모품,기타(비상품)
1284,소스류,조미료
1332,소주,주류
993,소형디지털가전,영상/음향가전
626,속옷/양말/홈웨어세트,속옷/양말/홈웨어
9,수납가구,가구
497,수산물통조림,병통조림
704,수산선물세트,수산물
842,수영/물놀이,시즌스포츠
1618,수예소품,침구/수예
1625,수예시즌소품,침구/수예
1627,수예용품,침구/수예
1576,수유/이유용품,출산/육아용품
191,수입과일,과일
1545,수입돼지고기,축산물
227,스낵류,과자
856,스케이트/썰매,시즌스포츠
857,스키/보드,시즌스포츠
1916,스킨케어,화장품/뷰티케어
1869,스포츠댄스,헬스/피트니스
788,스포츠잡화,스포츠패션
1025,승용완구,완구
1750,시계,패션잡화
12,시공/DIY가구,가구
410,시리얼,대용식
1221,시트/쿠션/매트,자동차용품
1682,식당,테넌트/음식점
1291,식용유류,조미료
1026,실외놀이/스포츠완구,완구
935,쌀,양곡
327,아이스크림,냉동식품
578,악기,서적/음반/악기
1757,안경/선글라스,패션잡화
76,안마/찜질용품,건강용품
1223,안전보호용품,자동차용품
141,안전용품,공구/안전용품
1063,애견용품,원예/애완
1225,액세서리편의용품,자동차용품
262,야구,구기/필드스포츠
14,야외용가구,가구
939,양곡선물세트,양곡
1548,양념육,축산물
1335,양주,주류
1411,양채류,채소
707,어류,수산물
363,어묵/맛살,냉장식품
1762,여성가방,패션잡화
796,여성골프의류,스포츠패션
807,여성등산/아웃도어의류,스포츠패션
629,여성속옷,속옷/양말/홈웨어
815,여성스포츠화,스포츠패션
640,여성양말류,속옷/양말/홈웨어
1846,여성위생용품,퍼스널케어
948,여성의류상의,여성의류
955,여성의류세트,여성의류
957,여성의류아우터,여성의류
964,여성의류전신,여성의류
966,여성의류하의,여성의류
818,여성일반스포츠의류,스포츠패션
1769,여성지갑,패션잡화
970,여성특수목적의류,여성의류
974,여성특수소재의류,여성의류
1771,여성화,패션잡화
1031,여아완구,완구
1100,여아의류상의,유아동의류
1107,여아의류세트,유아동의류
1109,여아의류아우터,유아동의류
1114,여아의류전신,유아동의류
1116,여아의류특수목적의류,유아동의류
1118,여아의류하의,유아동의류
1122,여아특수소재의류,유아동의류
977,여행/레저,여행/레저서비스
1787,여행용가방류,패션잡화
727,연체류,수산물
1418,열매채소,채소
43,영양제,건강식품
996,오디오,영상/음향가전
1234,오토바이,자동차용품
1260,온장조리,조리식품
1339,와인,주류
1152,요구르트,유제품
1458,욕실용품,청소/세탁/욕실용품
412,용기라면,대용식
286,용기보증금,기타(비상품)
1790,우산/양산류,패션잡화
1155,우유,유제품
1643,원두커피,커피/차
1073,원예,원예/애완
1077,원예용품,원예/애완
1870,웨이트,헬스/피트니스
1157,유가공품,유제품
1147,유아간식,유아식품
15,유아동가구,가구
648,유아동속옷,속옷/양말/홈웨어
828,유아동스포츠화,스포츠패션
886,유아동식기,식기/조리기구
652,유아동양말류,속옷/양말/홈웨어
831,유아동일반스포츠의류,스포츠패션
1632,유아동침구,침구/수예
1797,유아동화,패션잡화
1584,유아발육용품,출산/육아용품
1593,유아스킨/바디케어,출산/육아용품
1149,유아식,유아식품
1596,유아안전용품,출산/육아용품
1600,유아위생용품,출산/육아용품
1124,유아의류상의,유아동의류
1132,유아의류세트,유아동의류
1133,유아의류아우터,유아동의류
1138,유아의류전신,유아동의류
1141,유아의류하의,유아동의류
1145,유아특수목적의류,유아동의류
1554,육가공품,축산물
1174,음료세트,음료
585,음반/영상물,서적/음반/악기
538,이미용가전,생활/주방가전
978,이용권/입장권,여행/레저서비스
909,인라인/스케이트보드/킥보드,아웃도어/레저
1647,인스턴트커피,커피/차
379,일반담배,담배
450,일반문구/사무용품,문구/사무용품
79,일반의약외품,건강용품
86,일반의약품,건강용품
287,임대매출,기타(비상품)
1606,임산부케어용품,출산/육아용품
1427,잎채소,채소
1235,자동차음향/가전기기,자동차용품
914,자전거,아웃도어/레저
940,잡곡,양곡
1351,잡화균일가,주방잡화
1808,장갑,패션잡화
1300,장류,조미료
1188,장식용품,인테리어/조명
501,잼,병통조림
144,전기용품,공구/안전용품
1037,전자/비디오게임,완구
382,전자담배,담배
235,전통과자류,과자
1342,전통주,주류
546,전화기,생활/주방가전
1469,정리용품,청소/세탁/욕실용품
738,조개류,수산물
890,조리기구,식기/조리기구
1352,조리도구,주방잡화
1193,조명용품,인테리어/조명
1305,조미료류,조미료
1315,조미료세트,조미료
1348,주류세트,주류
20,주방가구,가구
547,주방가전,생활/주방가전
602,주방세제,세제/위생
1365,주방일회용품,주방잡화
1369,주방정리용품/소모품,주방잡화
1270,즉석반찬,조리식품
1177,즉석음료류,음료
513,지류상품권,상품권
1652,차류,커피/차
1178,차음료,음료
1445,채소선물세트,채소
565,청소기,생활/주방가전
604,청소세제,세제/위생
1477,청소용품,청소/세탁/욕실용품
237,초콜릿,과자
266,축구,구기/필드스포츠
503,축산물통조림,병통조림
1558,축산선물세트,축산물
24,침실가구,가구
1002,카메라/캠코더,영상/음향가전
1640,카페트/러그/매트류,침구/수예
1811,캐쥬얼가방,패션잡화
925,캠핑,아웃도어/레저
1200,커튼/블라인드류,인테리어/조명
1661,커피/차세트,커피/차
1180,커피음료,음료
1663,컴퓨터/노트북,컴퓨터
1667,컴퓨터주변기기,컴퓨터
272,탁구,구기/필드스포츠
1181,탄산음료,음료
276,테니스,구기/필드스포츠
384,특수담배,담배
1850,특수위생용품,퍼스널케어
288,특판,기타상품
240,파이류,과자
467,파티/팬시용품,문구/사무용품
1819,패션액세서리,패션잡화
368,포장반찬,냉장식품
1693,푸드코트,테넌트/음식점
1318,프리믹스,조미료
1873,피트니스,헬스/피트니스
480,필기도구,문구/사무용품
1449,한방약재,채소
112,해조류,건해산물
753,해초류,수산물
1852,핸드/풋케어,퍼스널케어
375,햄/소시지,냉장식품
1928,향수,화장품/뷰티케어
1323,향신료,조미료
1827,헤어액세서리,패션잡화
1856,헤어케어,퍼스널케어
1563,호주산소고기,축산물
659,홈웨어,속옷/양말/홈웨어
55,홍삼/인삼가공식품,건강식품
610,화장지/티슈,세제/위생
